abv_range,abv_strength,family_name,ibu_range,ibu_strength,style_URL,style_id,style_name
6.3-7.6%,3,Bocks,20-30,3,https://www.beeradvocate.com/beer/styles/32/,0,German Bock
6.6-7.9%,3,Bocks,17-27,3,https://www.beeradvocate.com/beer/styles/35/,1,German Doppelbock
7.0-14.0%,4,Bocks,25-35,3,https://www.beeradvocate.com/beer/styles/36/,2,German Eisbock
6.3-8.1%,3,Bocks,20-38,3,https://www.beeradvocate.com/beer/styles/33/,3,German Maibock
7.0-9.5%,3,Bocks,15-35,3,https://www.beeradvocate.com/beer/styles/92/,4,German Weizenbock
4.2–8.8%,3,Brown Ales,25–45,3,https://www.beeradvocate.com/beer/styles/73/,5,American Brown Ale
4.2–7.0%,2,Brown Ales,15–25,2,https://www.beeradvocate.com/beer/styles/74/,6,English Brown Ale
3.0–6.0%,2,Brown Ales,20–30,3,https://www.beeradvocate.com/beer/styles/75/,7,English Dark Mild Ale
4.0–7.0%,2,Brown Ales,25–50,4,https://www.beeradvocate.com/beer/styles/86/,8,German Altbier
6.3-7.6%,3,Dark Ales,50-70,5,https://www.beeradvocate.com/beer/styles/175/,9,American Black Ale
4.5–7.5%,3,Dark Ales,15–25,2,https://www.beeradvocate.com/beer/styles/119/,10,Belgian Dark Ale
6.0–9.0%,3,Dark Ales,15–30,3,https://www.beeradvocate.com/beer/styles/57/,11,Belgian Dubbel
4.5-6.0%,2,Dark Ales,10-20,2,https://www.beeradvocate.com/beer/styles/18/,12,German Roggenbier
2.8-5.3%,2,Dark Ales,9-25,2,https://www.beeradvocate.com/beer/styles/68/,13,Scottish Ale
5.5–8.0%,3,Dark Ales,35–50,4,https://www.beeradvocate.com/beer/styles/47/,14,Winter Warmer
4.8–5.4%,2,Dark Lagers,18–30,3,https://www.beeradvocate.com/beer/styles/147/,15,American Amber Red Lager
4.0–7.0%,2,Dark Lagers,15–40,3,https://www.beeradvocate.com/beer/styles/149/,16,European Dark Lager
5.0–6.5%,2,Dark Lagers,18–25,3,https://www.beeradvocate.com/beer/styles/29/,17,German Märzen Oktoberfest
4.8-6.0%,2,Dark Lagers,20-30,3,https://www.beeradvocate.com/beer/styles/7/,18,German Rauchbier
3.8–5.2%,2,Dark Lagers,20–30,3,https://www.beeradvocate.com/beer/styles/31/,19,German Schwarzbier
4.0–6.0%,2,Dark Lagers,15–25,2,https://www.beeradvocate.com/beer/styles/46/,20,Munich Dunkel Lager
4.5–5.5%,2,Dark Lagers,15–30,3,https://www.beeradvocate.com/beer/styles/30/,21,Vienna Lager
4.0–8.5%,3,Hybrid Beers,10–22,2,https://www.beeradvocate.com/beer/styles/6/,22,American Cream Ale
6.0-12.0%,4,Hybrid Beers,10–35,3,https://www.beeradvocate.com/beer/styles/141/,23,Bière de Champagne Bière Brut
6.0-12.0%,4,Hybrid Beers,20-40,3,https://www.beeradvocate.com/beer/styles/114/,24,Braggot
4.0–6.0%,2,Hybrid Beers,35–45,4,https://www.beeradvocate.com/beer/styles/132/,25,California Common Steam Beer
6.0–7.5%,3,India Pale Ales,20–40,3,https://www.beeradvocate.com/beer/styles/199/,26,American Brut IPA
