beer_id,beer_name,beer_advocates_style,beer_abv,abv_strength,beer_style_ibu_avg,brewery_name
0,Stone Old Guardian Barley Wine Style Ale 2006,American Barleywine,11.2,4,80.0,Stone Brewing Co.
1,Samuel Adams Brown Ale,English Brown Ale,5.35,2,20.0,Boston Beer Company (Samuel Adams)
2,Hennepin (Farmhouse Saison),Belgian Saison,7.7,3,29.0,Brewery Ommegang
3,Double Bag,German Altbier,7.2,3,37.5,Long Trail Brewing Co.
4,Berkshire Russian Imperial Stout,Russian Imperial Stout,8.5,3,70.0,Berkshire Brewing Company Inc.
5,Éphémère (Apple),Fruit and Field Beer,5.5,2,25.0,Unibroue
6,Yuengling Bock,German Bock,5.1,2,25.0,Yuengling Brewery 
7,Sierra Nevada ESB (Early Spring Beer),English Extra Special Strong Bitter (ESB),5.9,2,30.0,Sierra Nevada Brewing Co.
8,"Samuel Smith's, The Famous Taddy Porter",English Porter,5.0,2,25.0,Samuel Smith Old Brewery (Tadcaster)
9,Samuel Smith's Nut Brown Ale,English Brown Ale,5.0,2,20.0,Samuel Smith Old Brewery (Tadcaster)
10,Mahr's Ungespundet-hefetrüb,German Kellerbier Zwickelbier,5.2,2,30.0,Mahrs-Bräu
11,La Trappe Dubbel (Koningshoeven Dominus),Belgian Dubbel,7.0,3,22.5,Bierbrouwerij De Koningshoeven B.V.
12,Sierra Nevada Celebration Ale,American IPA,6.8,3,60.0,Sierra Nevada Brewing Co.
13,Budweiser American Ale,American Amber Red Ale,5.3,2,35.0,Anheuser-Busch
14,Yuengling Traditional Lager,American Amber Red Lager,4.4,2,24.0,Yuengling Brewery 
15,Yuengling Porter (Dark Brewed),American Porter,4.7,2,30.0,Yuengling Brewery 
16,Yuengling Light Lager,American Light Lager,3.4,1,10.0,Yuengling Brewery 
17,Yuengling Black & Tan,American Porter,4.7,2,30.0,Yuengling Brewery 
18,Xingu Black Beer,German Schwarzbier,4.7,2,25.0,Cervejaria Sul Brasileira
19,Whitbread Pale Ale,English Pale Ale,5.7,2,30.0,Whitbread PLC
20,Wexford Irish Cream Ale,American Cream Ale,5.0,2,16.0,Greene King
21,Tucher Dunkles Hefe Weizen,German Dunkelweizen,5.35,2,12.5,Brauerei Tucher Brau
22,Tiger Beer,American Adjunct Lager,5.0,2,13.0,Asia Pacific Breweries Ltd.
23,The Abyss,American Imperial Stout,11.0,4,65.0,Deschutes Brewery
24,Strawberry Harvest Lager,Fruit and Field Beer,4.2,2,25.0,Abita Brewing Co.
25,Stoudt's Double IPA (India Pale Ale),American Imperial IPA,10.0,4,82.5,Stoudts Brewing Co.
26,Stone Smoked Porter,American Porter,5.9,2,30.0,Stone Brewing Co.
27,Stella Artois,European Pale Lager,5.0,2,21.5,Stella Artois
28,Snake Dog IPA,American IPA,7.1,3,60.0,Flying Dog Brewery
29,Smithwick's,Irish Red Ale,4.5,2,25.0,Guinness Ltd.
30,Sierra Nevada Anniversary Ale (2007-2009),American IPA,5.9,2,60.0,Sierra Nevada Brewing Co.
31,Shipyard Export Ale,American Blonde Ale,5.0,2,20.0,Shipyard Brewing Co.
32,Sea Dog Blue Paw Wheat Ale,Fruit and Field Beer,4.6,2,25.0,Sea Dog Brewing Company
33,Saranac India Pale Ale,American IPA,5.8,2,60.0,Matt Brewing Company
34,Saranac Brown Ale,American Brown Ale,6.0,3,35.0,Matt Brewing Company
35,Saranac Black Forest,German Schwarzbier,5.5,2,25.0,Matt Brewing Company
36,Saranac Adirondack Lager,German Pilsner,5.5,2,32.5,Matt Brewing Company
37,Santa's Private Reserve Ale,American Amber Red Ale,6.0,3,35.0,Rogue Ales
38,Samuel Adams Summer Ale,American Pale Wheat Ale,5.3,2,22.5,Boston Beer Company (Samuel Adams)
39,Samuel Adams Old Fezziwig Ale,Winter Warmer,5.9,2,42.5,Boston Beer Company (Samuel Adams)
40,Samuel Adams Hallertau Imperial Pilsner,American Imperial Pilsner,8.1,3,47.5,Boston Beer Company (Samuel Adams)
41,Samuel Adams Cream Stout,English Sweet Milk Stout,4.9,2,20.0,Boston Beer Company (Samuel Adams)
42,Samuel Adams Boston Lager,Vienna Lager,4.9,2,22.5,Boston Beer Company (Samuel Adams)
43,Road Dog Porter,American Porter,6.0,3,30.0,Flying Dog Brewery
44,Red Tail Ale,American Amber Red Ale,6.1,3,35.0,Mendocino Brewing Company
45,Pranqster,Belgian Strong Pale Ale,7.6,3,30.0,North Coast Brewing Co.
46,Porter,American Porter,5.3,2,30.0,I.M. International Rokko Brewery
47,Paulaner Hefe-Weissbier Naturtrüb,German Hefeweizen,5.5,2,12.5,Paulaner Brauerei GmbH & Co. KG
48,Pale 31,American Pale Ale (APA),4.8,2,37.5,Firestone Walker Brewing Co.
49,Old Chub Scottish Style Ale,Scotch Ale Wee Heavy,8.0,3,30.0,Oskar Blues Grill & Brew
50,Odd Notion (Summer 08),English Dark Mild Ale,4.2,2,25.0,Magic Hat Brewing Company
51,Nut Brown Ale,English Brown Ale,5.2,2,20.0,Climax Brewing Company
52,Murphy's Irish Stout,Irish Dry Stout,4.0,2,35.0,Murphy Brewery Ireland Limited
53,Murphy's Irish Red Beer,Irish Red Ale,5.0,2,25.0,Murphy Brewery Ireland Limited
54,Moe's Backroom Pale Ale,American Pale Ale (APA),5.7,2,37.5,"City Brewing Company, LLC"
55,Mocha Porter,American Porter,5.3,2,30.0,Rogue Ales
56,Milk Stout,English Sweet Milk Stout,5.3,2,20.0,Lancaster Brewing Company
57,McSorley's Irish Black Lager,German Schwarzbier,5.5,2,25.0,Pabst Brewing Company
58,Mackeson Triple XXX Stout,English Sweet Milk Stout,4.9,2,20.0,Whitbread PLC
59,Leinenkugel's Sunset Wheat,Belgian Witbier,4.9,2,15.0,Jacob Leinenkugel Brewing Company
60,Leinenkugel's Red,Vienna Lager,4.9,2,22.5,Jacob Leinenkugel Brewing Company
61,Leinenkugel's Honey Weiss,German Kristalweizen,4.9,2,12.5,Jacob Leinenkugel Brewing Company
62,Leinenkugel's Berry Weiss,Fruit and Field Beer,4.7,2,25.0,Jacob Leinenkugel Brewing Company
63,Left Hand Milk Stout,English Sweet Milk Stout,6.0,3,20.0,Left Hand Brewing Company
64,Leffe Blonde,Belgian Pale Ale,6.6,3,25.0,Abbaye de Leffe S.A.
65,Late Harvest Autumn Ale,American Amber Red Ale,5.9,2,35.0,Redhook Ale Brewery
66,Köstritzer Schwarzbier,German Schwarzbier,4.8,2,25.0,Köstritzer Schwarzbierbrauerei GmbH & Co.
67,Kingfisher Premium Lager,American Lager,4.8,2,37.5,United Breweries
68,India Pale Ale,English India Pale Ale (IPA),7.5,3,47.5,Meantime Brewing Company Limited
69,Honey Moon Summer Ale,American Pale Wheat Ale,5.2,2,22.5,Coors Brewing Company
70,Hocus Pocus,American Pale Wheat Ale,4.5,2,22.5,Magic Hat Brewing Company
71,Hobgoblin,English Brown Ale,5.2,2,20.0,Wychwood Brewery Company Ltd
72,Highland Black Mocha Stout,American Stout,5.6,2,47.5,Highland Brewing
73,Harpoon IPA,American IPA,5.9,2,60.0,Harpoon Brewery
74,Guinness Draught,Irish Dry Stout,4.2,2,35.0,Guinness Ltd.
75,Full Sail Wassail,Winter Warmer,7.0,3,42.5,Full Sail Brewery & Tasting Room & Pub
76,Duchesse De Bourgogne,Flanders Red Ale,6.0,3,17.5,Brouwerij Verhaeghe
